셀번호,측정시간,장애여부
JNBA30,2024-04-10T13:43:55.000+09:00,MAJOR
JNBA12,2024-04-10T14:03:16.000+09:00,MAJOR
JNJE4,2024-04-10T16:26:03.000+09:00,MAJOR
JNGC1001,2024-04-10T18:07:56.000+09:00,MAJOR
JNGC1002,2024-04-10T18:26:04.000+09:00,MAJOR
JNGC1002,2024-04-11T00:58:51.000+09:00,MAJOR
YSWS0049,2024-04-11T02:44:26.000+09:00,MAJOR
JNGC1002,2024-04-11T04:20:17.000+09:00,MAJOR
JNGC1002,2024-04-11T06:37:41.000+09:00,MAJOR
JNGC0001,2024-04-11T10:00:29.000+09:00,MAJOR
JNBA30,2024-04-11T10:26:45.000+09:00,MAJOR
YSYW0030,2024-04-11T10:30:27.000+09:00,MAJOR
JNGC0008-1,2024-04-11T11:03:52.000+09:00,MAJOR
JNGC0008-1,2024-04-11T11:12:27.000+09:00,MAJOR
JNGC0008-1,2024-04-11T12:43:34.000+09:00,MAJOR
JNGC0008-1,2024-04-11T13:42:18.000+09:00,MAJOR
YSYW0030,2024-04-11T13:51:44.000+09:00,MAJOR
JNGC0008-1,2024-04-11T13:52:18.000+09:00,MAJOR
JNGC0001,2024-04-11T14:38:55.000+09:00,MAJOR
YSWS0051,2024-04-11T14:47:42.000+09:00,MAJOR
JNGC0001,2024-04-11T15:36:33.000+09:00,MAJOR
JNGC0001,2024-04-11T15:42:05.000+09:00,MAJOR
YSYW0063B,2024-04-11T17:02:54.000+09:00,MAJOR
JNGC0004-1,2024-04-11T17:53:19.000+09:00,MAJOR
YSSB2-7,2024-04-11T17:57:03.000+09:00,MAJOR
YSHS0051,2024-04-12T02:01:16.000+09:00,CRITICAL
YSHS0062,2024-04-12T02:01:16.000+09:00,CRITICAL
JNJE36,2024-04-12T09:12:38.000+09:00,MAJOR
JNJE36,2024-04-12T09:15:41.000+09:00,MAJOR
JNJE36,2024-04-12T09:18:18.000+09:00,MAJOR
JNSC2-3,2024-04-12T10:20:42.000+09:00,MAJOR
JNSC2-3,2024-04-12T11:46:17.000+09:00,MAJOR
JNSC2-3,2024-04-12T11:48:54.000+09:00,MAJOR
JNGJ312,2024-04-12T14:00:40.000+09:00,MAJOR
JNJE4,2024-04-12T15:20:44.000+09:00,MAJOR
JNBA12,2024-04-12T22:02:46.000+09:00,MAJOR
JNJE1211,2024-04-13T00:26:22.000+09:00,MAJOR
JNJE80-1,2024-04-13T03:09:13.000+09:00,MAJOR
JNBA32,2024-04-13T09:04:19.000+09:00,MAJOR
YSJBH910,2024-04-13T09:51:38.000+09:00,MAJOR
YSJSC2004,2024-04-13T10:15:34.000+09:00,CRITICAL
JNGC0040,2024-04-13T10:24:19.000+09:00,MAJOR
JNGC1002,2024-04-13T11:29:16.000+09:00,MAJOR
YSJSC2004,2024-04-13T11:44:04.000+09:00,MAJOR
YSHS0025,2024-04-13T15:42:38.000+09:00,CRITICAL
