index,셀번호,측정시간,장애여부
264,YSHS0036,2024-04-18T02:26:14.000+09:00,MAJOR
265,YSHS0065,2024-04-18T02:27:51.000+09:00,MAJOR
266,YSHSHFC0007,2024-04-18T02:29:28.000+09:00,MAJOR
267,YSHS0053,2024-04-18T02:32:46.000+09:00,CRITICAL
268,YSHS0075,2024-04-18T02:32:46.000+09:00,MAJOR
269,YSHS0035,2024-04-18T02:34:26.000+09:00,MAJOR
270,YSHS0083,2024-04-18T02:34:26.000+09:00,MAJOR
271,YSHS0069-2,2024-04-18T02:38:06.000+09:00,CRITICAL
272,YSHS0052,2024-04-18T02:45:07.000+09:00,MAJOR
273,YSHS0074,2024-04-18T02:50:28.000+09:00,CRITICAL
274,YSHS0011,2024-04-18T02:52:04.000+09:00,CRITICAL
275,YSHS0013,2024-04-18T02:52:04.000+09:00,CRITICAL
276,YSHS0015,2024-04-18T02:52:04.000+09:00,CRITICAL
277,YSHS0055,2024-04-18T02:52:04.000+09:00,CRITICAL
278,YSHSHFC0009,2024-04-18T02:52:04.000+09:00,MAJOR
279,YSHS0079,2024-04-18T02:53:47.000+09:00,MAJOR
280,YSHSHFC0007-2,2024-04-18T02:53:47.000+09:00,MAJOR
281,YSHS0017,2024-04-18T02:56:05.000+09:00,CRITICAL
282,YSHS0024,2024-04-18T02:56:05.000+09:00,CRITICAL
283,YSHS0014,2024-04-18T02:57:53.000+09:00,MAJOR
284,YSHSHFC0008,2024-04-18T02:57:53.000+09:00,MAJOR
285,YSHSH5005,2024-04-18T03:04:13.000+09:00,CRITICAL
286,YSHS0074,2024-04-18T03:09:49.000+09:00,CRITICAL
287,YSHS0062,2024-04-18T03:11:46.000+09:00,CRITICAL
288,YSHS0055,2024-04-18T03:11:46.000+09:00,MAJOR
289,YSHS0042,2024-04-18T03:38:09.000+09:00,MAJOR
290,YSHS0017,2024-04-18T03:45:05.000+09:00,CRITICAL
291,YSHS0024,2024-04-18T03:45:05.000+09:00,CRITICAL
292,YSHS0062,2024-04-18T04:00:37.000+09:00,CRITICAL
293,YSHS0025,2024-04-18T04:12:44.000+09:00,CRITICAL
294,YSHS0055,2024-04-18T04:19:47.000+09:00,CRITICAL
295,YSHS0074,2024-04-18T04:55:50.000+09:00,CRITICAL
296,YSHS0054,2024-04-18T04:57:26.000+09:00,MAJOR
297,YSHS0047,2024-04-18T04:57:26.000+09:00,MAJOR
298,YSHS0046,2024-04-18T05:34:13.000+09:00,CRITICAL
299,YSHS0070,2024-04-18T05:34:13.000+09:00,CRITICAL
303,YSJBG6-1F,2024-04-18T10:42:51.000+09:00,MAJOR
304,YSDG10-1,2024-04-18T11:20:21.000+09:00,CRITICAL
305,YSJBG6-1F,2024-04-18T11:25:37.000+09:00,MAJOR
311,YSJB5-27,2024-04-18T14:46:33.000+09:00,CRITICAL
312,YSDGHFC0054,2024-04-18T14:56:51.000+09:00,MAJOR
313,YSJSC5001,2024-04-18T15:22:14.000+09:00,MAJOR
314,YSJB5-27,2024-04-18T15:25:46.000+09:00,CRITICAL
332,YSWS5-30,2024-04-19T14:02:33.000+09:00,CRITICAL
336,YSYW0025,2024-04-20T10:09:08.000+09:00,MAJOR
337,YSWS0296,2024-04-20T10:46:34.000+09:00,MAJOR
340,YSJB5-27,2024-04-20T20:59:20.000+09:00,CRITICAL
344,YSJB5-27,2024-04-20T23:39:22.000+09:00,CRITICAL
351,YSWS0156,2024-04-21T14:43:29.000+09:00,MAJOR
352,YSWS4-2,2024-04-21T16:09:38.000+09:00,MAJOR
353,YSYW0047,2024-04-21T17:26:01.000+09:00,CRITICAL
363,YSWS1-1,2024-04-22T08:49:33.000+09:00,MAJOR
378,YSSB2-15,2024-04-23T02:24:07.000+09:00,CRITICAL
379,YSSB2-15,2024-04-23T02:37:43.000+09:00,CRITICAL
391,YSJBF3-2,2024-04-23T10:12:06.000+09:00,MAJOR
392,YSHS0083,2024-04-23T10:12:06.000+09:00,MAJOR
398,YSWS0278,2024-04-23T11:19:45.000+09:00,MAJOR
401,YSHS0069-1,2024-04-23T14:02:23.000+09:00,CRITICAL
402,YSJSC2003-1,2024-04-23T14:21:12.000+09:00,MAJOR
403,YSRGC1005,2024-04-23T14:24:28.000+09:00,CRITICAL
404,YSWS0265,2024-04-23T15:14:38.000+09:00,MAJOR
406,YSJB1-9,2024-04-23T19:19:21.000+09:00,MAJOR
407,YSWS0217-2,2024-04-23T20:24:53.000+09:00,CRITICAL
408,YSJSC3010,2024-04-24T04:38:20.000+09:00,CRITICAL
411,YSWS6-2,2024-04-24T06:51:51.000+09:00,MAJOR
413,YSJSC3010,2024-04-24T07:27:37.000+09:00,CRITICAL
414,YSWS0087,2024-04-24T10:01:22.000+09:00,MAJOR
418,YSSRAP1-1,2024-04-24T16:15:39.000+09:00,CRITICAL
419,YSMYRFOG0038,2024-04-25T10:31:18.000+09:00,MAJOR
421,YSJSC4007,2024-04-25T10:44:40.000+09:00,MAJOR
422,YSJB0075,2024-04-25T10:49:41.000+09:00,CRITICAL
423,YSJSC4007,2024-04-25T11:40:20.000+09:00,MAJOR
428,YSJSC4007,2024-04-26T14:02:51.000+09:00,MAJOR
431,YSWS0199,2024-04-26T15:31:29.000+09:00,CRITICAL
432,YSSB2-4,2024-04-26T15:50:09.000+09:00,MAJOR
433,YSDGHFC0053,2024-04-26T16:18:20.000+09:00,MAJOR
437,YSWS5-27,2024-04-28T08:36:58.000+09:00,CRITICAL
438,YSWS5-27,2024-04-28T09:25:40.000+09:00,CRITICAL
439,YSHS0045,2024-04-28T17:19:38.000+09:00,CRITICAL
440,YSWS0189,2024-04-28T22:53:28.000+09:00,CRITICAL
441,YSWS0225-1,2024-04-29T10:01:19.000+09:00,CRITICAL
442,YSWS0225,2024-04-29T10:01:19.000+09:00,MAJOR
443,YSDGRFOG0065,2024-04-29T10:32:55.000+09:00,CRITICAL
444,YSWS0267,2024-04-29T10:43:05.000+09:00,MAJOR
445,YSHSHFC0008,2024-04-29T10:57:53.000+09:00,MAJOR
446,YSYW0107,2024-04-29T14:09:33.000+09:00,MAJOR
447,YSYW0107,2024-04-29T14:23:09.000+09:00,MAJOR
448,YSWS0267,2024-04-29T14:43:01.000+09:00,MAJOR
450,YSJB1-9,2024-04-29T16:11:21.000+09:00,MAJOR
454,YSMMH4004,2024-04-30T02:02:05.000+09:00,CRITICAL
455,YSMMH5006,2024-04-30T02:02:05.000+09:00,CRITICAL
456,YSYW0030,2024-04-30T09:33:27.000+09:00,MAJOR
457,YSYW0030,2024-04-30T10:01:47.000+09:00,CRITICAL
469,YSWS8-5,2024-04-30T14:31:26.000+09:00,MAJOR
470,YSYW0009,2024-04-30T14:44:35.000+09:00,MAJOR
471,YSSB1-11,2024-04-30T16:54:56.000+09:00,MAJOR
